number,status,available_bike_stands,available_bikes,last_update42,OPEN,29,1,2019-02-21 10:24:34
101,OPEN,30,0,2019-02-21 10:24:41
115,OPEN,20,10,2019-02-21 10:29:21
47,OPEN,1,38,2019-02-21 10:24:52
8,OPEN,0,29,2019-02-21 10:31:48
27,OPEN,0,20,2019-02-21 10:32:15
16,OPEN,19,1,2019-02-21 10:24:41
96,OPEN,30,0,2019-02-21 10:33:02
82,OPEN,22,0,2019-02-21 10:26:13
76,OPEN,38,0,2019-02-21 10:28:12
71,OPEN,38,2,2019-02-21 10:32:34
79,OPEN,27,0,2019-02-21 10:28:54
69,OPEN,11,27,2019-02-21 10:32:15
25,OPEN,8,22,2019-02-21 10:28:44
51,OPEN,23,17,2019-02-21 10:28:51
37,OPEN,19,10,2019-02-21 10:24:51
59,OPEN,20,0,2019-02-21 10:31:08
95,OPEN,39,1,2019-02-21 10:31:47
94,OPEN,40,0,2019-02-21 10:32:27
105,OPEN,23,13,2019-02-21 10:28:46
36,OPEN,4,36,2019-02-21 10:24:25
93,OPEN,40,0,2019-02-21 10:23:40
22,OPEN,16,4,2019-02-21 10:31:38
50,OPEN,40,0,2019-02-21 10:25:13
110,OPEN,40,0,2019-02-21 10:23:32
12,OPEN,20,0,2019-02-21 10:26:45
34,OPEN,30,0,2019-02-21 10:23:25
78,OPEN,40,0,2019-02-21 10:29:07
2,OPEN,20,0,2019-02-21 10:27:12
75,OPEN,40,0,2019-02-21 10:28:34
111,OPEN,39,1,2019-02-21 10:32:26
26,OPEN,0,20,2019-02-21 10:33:02
65,OPEN,3,37,2019-02-21 10:27:30
15,OPEN,16,0,2019-02-21 10:29:41
86,OPEN,38,0,2019-02-21 10:24:18
35,OPEN,30,0,2019-02-21 10:32:08
10,OPEN,9,7,2019-02-21 10:32:58
100,OPEN,25,0,2019-02-21 10:23:26
24,OPEN,19,1,2019-02-21 10:30:25
64,OPEN,0,40,2019-02-21 10:24:42
109,OPEN,29,0,2019-02-21 10:26:41
85,OPEN,34,1,2019-02-21 10:31:08
107,OPEN,40,0,2019-02-21 10:27:06
33,OPEN,20,1,2019-02-21 10:32:54
44,OPEN,29,1,2019-02-21 10:29:52
89,OPEN,29,11,2019-02-21 10:23:57
57,OPEN,0,23,2019-02-21 10:32:23
80,OPEN,37,3,2019-02-21 10:25:07
41,OPEN,10,10,2019-02-21 10:30:41
3,OPEN,20,0,2019-02-21 10:25:10
46,OPEN,17,2,2019-02-21 10:26:52
40,OPEN,18,2,2019-02-21 10:32:25
29,OPEN,29,0,2019-02-21 10:30:55
70,OPEN,9,18,2019-02-21 10:30:03
103,OPEN,35,5,2019-02-21 10:32:11
28,OPEN,17,13,2019-02-21 10:30:28
39,OPEN,19,1,2019-02-21 10:28:29
83,OPEN,40,0,2019-02-21 10:23:09
92,OPEN,40,0,2019-02-21 10:31:56
21,OPEN,2,28,2019-02-21 10:23:24
88,OPEN,30,0,2019-02-21 10:23:28
42,OPEN,29,1,2019-02-21 10:33:32
